Location	Experiment type	File	Day	Sample	Day_sample	Patient	Repeat			
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD22_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD24_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD27_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD38_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_IgD_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_IgM_FMO.fcs	FMO				_					
".//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_L,2f,D_fmo.fcs"	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD14_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD19_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD21_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD22_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD24_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD27_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_CD38_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_IgD_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_IgM_FMO.fcs	FMO				_					
".//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD14_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD19_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD21_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD22_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD24_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD27_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_CD38_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_IgD_FMO.fcs	FMO				_					
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_IgM_FMO.fcs	FMO				_					
".//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD14_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD19_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD21_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD22_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD24_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD27_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_CD38_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_IgD_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_IgM_FMO.fcs	FMO				_					
".//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD14_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD19_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD21_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD22_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD24_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD27_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_CD38_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_IgD_FMO.fcs	FMO				_					
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_IgM_FMO.fcs	FMO				_					
".//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD14_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD19_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD21_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD22_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD24_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD27_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_CD38_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_IgD_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_IgM_FMO.fcs	FMO				_					
".//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD14_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD19_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD21_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD22_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD24_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD27_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_CD38_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_IgD_FMO.fcs	FMO				_					
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_IgM_FMO.fcs	FMO				_					
".//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD14_FMO.fcs	FMO				_					
